id,title,original_title,release_date,release_year,release_month,release_season,movie_age,budget,revenue,roi,popularity,vote_average,vote_count,all_genres,main_genre,director_name,top_3_cast
585,"Monsters, Inc.","Monsters, Inc.",2001-11-01,2001,11,Fall,24,115000000.0,579700000,5.040869565217391,15.8109,7.847,19274,Animation|Comedy|Family,Animation,Pete Docter,John Goodman|Billy Crystal|Mary Gibbs
591,The Da Vinci Code,The Da Vinci Code,2006-05-17,2006,5,Spring,19,125000000.0,760006945,6.08005556,10.0356,6.729,9791,Thriller|Mystery,Thriller,Ron Howard,Tom Hanks|Audrey Tautou|Ian McKellen
597,Titanic,Titanic,1997-11-18,1997,11,Fall,28,200000000.0,2264162353,11.320811765,26.9599,7.903,26527,Drama|Romance,Drama,James Cameron,Leonardo DiCaprio|Kate Winslet|Billy Zane
603,The Matrix,The Matrix,1999-03-31,1999,3,Spring,26,63000000.0,463517383,7.357418777777778,21.9119,8.236,27072,Action|Science Fiction,Action,Lana Wachowski,Keanu Reeves|Laurence Fishburne|Carrie-Anne Moss
640,Catch Me If You Can,Catch Me If You Can,2002-12-16,2002,12,Winter,23,52000000.0,352114312,6.771429076923077,14.5404,7.978,16548,Drama|Crime,Drama,Steven Spielberg,Leonardo DiCaprio|Tom Hanks|Christopher Walken
644,A.I. Artificial Intelligence,A.I. Artificial Intelligence,2001-06-29,2001,6,Summer,24,100000000.0,235926552,2.35926552,12.316,7.051,6464,Drama|Science Fiction|Adventure,Drama,Steven Spielberg,Haley Joel Osment|Jude Law|Frances O'Connor
652,Troy,Troy,2004-05-13,2004,5,Spring,21,175000000.0,497409852,2.8423420114285713,13.9479,7.164,10722,War|Action|History,War,Wolfgang Petersen,Brad Pitt|Orlando Bloom|Eric Bana
671,Harry Potter and the Philosopher's Stone,Harry Potter and the Philosopher's Stone,2001-11-16,2001,11,Fall,24,125000000.0,976475550,7.8118044,30.3321,7.899,28885,Adventure|Fantasy,Adventure,Chris Columbus,Daniel Radcliffe|Rupert Grint|Emma Watson
672,Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets,2002-11-13,2002,11,Fall,23,100000000.0,876688482,8.76688482,24.9793,7.705,23038,Adventure|Fantasy,Adventure,Chris Columbus,Daniel Radcliffe|Rupert Grint|Emma Watson
673,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban,2004-05-31,2004,5,Spring,21,130000000.0,789804554,6.075419646153846,20.0376,8.01,22605,Adventure|Fantasy,Adventure,Alfonso Cuarón,Daniel Radcliffe|Rupert Grint|Emma Watson
674,Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire,2005-11-16,2005,11,Fall,20,150000000.0,895921036,5.9728069066666665,25.3255,7.801,21648,Adventure|Fantasy,Adventure,Mike Newell,Daniel Radcliffe|Rupert Grint|Emma Watson
675,Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix,2007-07-08,2007,7,Summer,18,150000000.0,938212738,6.254751586666667,22.788,7.674,20337,Adventure|Fantasy,Adventure,David Yates,Daniel Radcliffe|Rupert Grint|Emma Watson
680,Pulp Fiction,Pulp Fiction,1994-09-10,1994,9,Fall,31,8000000.0,213928762,26.74109525,21.205,8.488,29368,Thriller|Crime|Comedy,Thriller,Quentin Tarantino,John Travolta|Samuel L. Jackson|Uma Thurman
767,Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince,2009-07-15,2009,7,Summer,16,250000000.0,933959197,3.735836788,21.7702,7.682,20301,Adventure|Fantasy,Adventure,David Yates,Daniel Radcliffe|Rupert Grint|Emma Watson
769,GoodFellas,GoodFellas,1990-09-12,1990,9,Fall,35,25000000.0,47072327,1.88289308,14.3784,8.453,13829,Drama|Crime,Drama,Martin Scorsese,Robert De Niro|Ray Liotta|Joe Pesci
772,Home Alone 2: Lost in New York,Home Alone 2: Lost in New York,1992-11-15,1992,11,Fall,33,18000000.0,358994850,19.944158333333334,38.6402,6.8,10229,Comedy|Family|Adventure,Comedy,Chris Columbus,Macaulay Culkin|Joe Pesci|Daniel Stern
788,Mrs. Doubtfire,Mrs. Doubtfire,1993-11-24,1993,11,Fall,32,25000000.0,441286195,17.6514478,15.255,7.193,6409,Comedy|Drama|Family,Comedy,Chris Columbus,Robin Williams|Sally Field|Lisa Jakub
807,Se7en,Se7en,1995-09-22,1995,9,Fall,30,33000000.0,327311859,9.918541181818181,15.1099,8.378,22352,Crime|Mystery|Thriller,Crime,David Fincher,Morgan Freeman|Brad Pitt|Gwyneth Paltrow
808,Shrek,Shrek,2001-05-18,2001,5,Spring,24,60000000.0,488628188,8.143803133333334,21.8418,7.754,18169,Animation|Comedy|Fantasy|Adventure|Family,Animation,Andrew Adamson,Mike Myers|Eddie Murphy|Cameron Diaz
809,Shrek 2,Shrek 2,2004-05-19,2004,5,Spring,21,150000000.0,935454538,6.236363586666666,13.4817,7.302,13056,Animation|Family|Comedy|Fantasy|Adventure|Romance,Animation,Conrad Vernon,Mike Myers|Eddie Murphy|Cameron Diaz
810,Shrek the Third,Shrek the Third,2007-05-17,2007,5,Spring,18,160000000.0,813367380,5.083546125,11.5403,6.3,9505,Fantasy|Adventure|Animation|Comedy|Family,Fantasy,Chris Miller,Mike Myers|Eddie Murphy|Cameron Diaz
812,Aladdin,Aladdin,1992-11-25,1992,11,Fall,33,28000000.0,504050219,18.001793535714285,11.2161,7.654,11707,Animation|Family|Adventure|Fantasy|Romance,Animation,John Musker,Scott Weinger|Robin Williams|Linda Larkin
854,The Mask,The Mask,1994-07-29,1994,7,Summer,31,23000000.0,351583407,15.286235086956522,13.2943,6.973,10867,Romance|Comedy|Crime|Fantasy,Romance,Chuck Russell,Jim Carrey|Peter Riegert|Peter Greene
857,Saving Private Ryan,Saving Private Ryan,1998-07-24,1998,7,Summer,27,70000000.0,481840909,6.8834415571428575,11.9892,8.221,16695,War|Drama|History,War,Steven Spielberg,Tom Hanks|Tom Sizemore|Edward Burns
862,Toy Story,Toy Story,1995-11-22,1995,11,Fall,30,30000000.0,394436586,13.1478862,18.2758,8.0,19340,Family|Comedy|Animation|Adventure,Family,John Lasseter,Tom Hanks|Tim Allen|Don Rickles
863,Toy Story 2,Toy Story 2,1999-10-30,1999,10,Fall,26,90000000.0,497375381,5.526393122222222,11.4552,7.604,14496,Animation|Comedy|Family,Animation,John Lasseter,Tom Hanks|Tim Allen|Joan Cusack
863,Toy Story 2,Toy Story 2,1999-10-30,1999,10,Fall,26,90000000.0,497375381,5.526393122222222,11.4552,7.604,14496,Animation|Comedy|Family,Animation,John Lasseter,Tom Hanks|Tim Allen|Joan Cusack
949,Heat,Heat,1995-12-15,1995,12,Winter,30,60000000.0,187400000,3.1233333333333335,11.5711,7.924,7942,Crime|Drama|Action,Crime,Michael Mann,Al Pacino|Robert De Niro|Val Kilmer
953,Madagascar,Madagascar,2005-05-25,2005,5,Spring,20,75000000.0,542064525,7.227527,12.6866,6.917,11381,Family|Animation|Adventure|Comedy,Family,Eric Darnell,Ben Stiller|Chris Rock|David Schwimmer
956,Mission: Impossible III,Mission: Impossible III,2006-04-25,2006,4,Spring,19,150000000.0,398479497,2.65652998,8.7621,6.754,7374,Adventure|Action|Thriller,Adventure,J.J. Abrams,Tom Cruise|Philip Seymour Hoffman|Ving Rhames
1265,Bridge to Terabithia,Bridge to Terabithia,2007-02-15,2007,2,Winter,18,60000000.0,137587063,2.2931177166666665,9.6337,7.308,5064,Adventure|Drama|Family,Adventure,Gábor Csupó,Josh Hutcherson|AnnaSophia Robb|Zooey Deschanel
1495,Kingdom of Heaven,Kingdom of Heaven,2005-05-03,2005,5,Spring,20,130000000.0,218366336,1.6797410461538462,11.3289,7.004,4691,Drama|Action|Adventure|History|War,Drama,Ridley Scott,Orlando Bloom|Eva Green|Jeremy Irons
1573,Die Hard 2,Die Hard 2,1990-07-03,1990,7,Summer,35,70000000.0,240031094,3.4290156285714284,12.2727,6.96,6153,Action|Thriller,Action,Renny Harlin,Bruce Willis|Bonnie Bedelia|William Sadler
1581,The Holiday,The Holiday,2006-12-05,2006,12,Winter,19,85000000.0,205219880,2.4143515294117646,11.7227,7.092,5429,Comedy|Romance,Comedy,Nancy Meyers,Cameron Diaz|Kate Winslet|Jude Law
1724,The Incredible Hulk,The Incredible Hulk,2008-06-12,2008,6,Summer,17,150000000.0,264770996,1.7651399733333333,10.6615,6.226,12357,Science Fiction|Action|Adventure,Science Fiction,Louis Leterrier,Edward Norton|Liv Tyler|Tim Roth
1726,Iron Man,Iron Man,2008-04-30,2008,4,Spring,17,140000000.0,585174222,4.179815871428572,14.6508,7.654,27505,Action|Science Fiction|Adventure,Action,Jon Favreau,Robert Downey Jr.|Terrence Howard|Jeff Bridges
1734,The Mummy Returns,The Mummy Returns,2001-05-04,2001,5,Spring,24,98000000.0,443280904,4.523274530612245,14.0077,6.388,7413,Adventure|Action|Fantasy,Adventure,Stephen Sommers,Brendan Fraser|Rachel Weisz|John Hannah
1735,The Mummy: Tomb of the Dragon Emperor,The Mummy: Tomb of the Dragon Emperor,2008-07-01,2008,7,Summer,17,145000000.0,403449830,2.782412620689655,11.2735,5.509,4662,Adventure|Action|Fantasy,Adventure,Rob Cohen,Brendan Fraser|Maria Bello|John Hannah
1865,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,2011-05-15,2011,5,Spring,14,379000000.0,1046721266,2.761797535620053,13.7448,6.563,14609,Adventure|Action|Fantasy,Adventure,Rob Marshall,Johnny Depp|Penélope Cruz|Geoffrey Rush
1930,The Amazing Spider-Man,The Amazing Spider-Man,2012-06-23,2012,6,Summer,13,215000000.0,757930663,3.525258897674419,12.148,6.724,18082,Action|Adventure|Science Fiction,Action,Marc Webb,Andrew Garfield|Emma Stone|Rhys Ifans
2009,"4 Months, 3 Weeks and 2 Days","4 luni, 3 săptămîni și 2 zile",2007-08-24,2007,8,Summer,18,852510.0,1185783,1.3909314846746665,12.2085,7.543,781,Drama,Drama,Cristian Mungiu,Anamaria Marinca|Laura Vasiliu|Vlad Ivanov
2062,Ratatouille,Ratatouille,2007-06-28,2007,6,Summer,18,150000000.0,623726000,4.158173333333333,16.4602,7.834,17966,Animation|Comedy|Family|Fantasy,Animation,Brad Bird,Patton Oswalt|Ian Holm|Lou Romano
2197,Sounds of Sand,Si le vent soulève les sables,2007-05-02,2007,5,Spring,18,5000000.0,0,0.0,9.7639,6.1,13,Drama|War,Drama,Marion Hänsel,Issaka Sawadogo|Carole Karemera|Asma Nouman Aden
2636,The Specialist,The Specialist,1994-10-07,1994,10,Fall,31,45000000.0,170362582,3.7858351555555556,9.9296,5.94,1381,Action|Thriller,Action,Luis Llosa,Sylvester Stallone|Sharon Stone|James Woods
2770,American Pie 2,American Pie 2,2001-08-10,2001,8,Summer,24,30000000.0,287553595,9.585119833333334,10.7845,6.247,5136,Comedy|Romance,Comedy,J.B. Rogers,Jason Biggs|Thomas Ian Nicholas|Chris Klein
3093,Basic Instinct 2,Basic Instinct 2,2006-03-29,2006,3,Spring,19,70000000.0,38629478,0.5518496857142857,9.328,4.982,812,Crime|Mystery|Thriller,Crime,Michael Caton-Jones,Sharon Stone|David Morrissey|Charlotte Rampling
3933,Corpse Bride,Corpse Bride,2005-09-12,2005,9,Fall,20,40000000.0,118133252,2.9533313,11.6895,7.585,9904,Romance|Fantasy|Animation,Romance,Mike Johnson,Johnny Depp|Helena Bonham Carter|Emily Watson
4348,Pride & Prejudice,Pride & Prejudice,2005-09-16,2005,9,Fall,20,28000000.0,124604345,4.450155178571428,13.3008,8.057,8505,Drama|Romance,Drama,Joe Wright,Keira Knightley|Matthew Macfadyen|Brenda Blethyn
4584,Sense and Sensibility,Sense and Sensibility,1995-12-13,1995,12,Winter,30,16000000.0,134582776,8.4114235,12.153,7.4,1782,Drama|Romance,Drama,Ang Lee,Emma Thompson|Kate Winslet|Alan Rickman
4922,The Curious Case of Benjamin Button,The Curious Case of Benjamin Button,2008-12-25,2008,12,Winter,17,150000000.0,335802786,2.23868524,13.9421,7.595,13379,Drama|Fantasy|Romance,Drama,David Fincher,Brad Pitt|Cate Blanchett|Taraji P. Henson
4935,Howl's Moving Castle,ハウルの動く城,2004-09-09,2004,9,Fall,21,24000000.0,236049757,9.835406541666666,13.1896,8.392,10651,Fantasy|Animation|Adventure,Fantasy,Hayao Miyazaki,Chieko Baisho|Takuya Kimura|Akihiro Miwa
4951,10 Things I Hate About You,10 Things I Hate About You,1999-03-30,1999,3,Spring,26,16000000.0,53478166,3.342385375,13.8264,7.59,8638,Comedy|Romance|Drama,Comedy,Gil Junger,Heath Ledger|Julia Stiles|Joseph Gordon-Levitt
5255,The Polar Express,The Polar Express,2004-11-10,2004,11,Fall,21,165000000.0,318432432,1.9298935272727273,19.6258,6.721,6678,Animation|Adventure|Family|Fantasy,Animation,Robert Zemeckis,Tom Hanks|Leslie Zemeckis|Eddie Deezen
6877,Failure to Launch,Failure to Launch,2006-03-10,2006,3,Spring,19,50000000.0,130224158,2.60448316,11.4936,5.833,1726,Romance|Comedy,Romance,Tom Dey,Matthew McConaughey|Sarah Jessica Parker|Zooey Deschanel
6957,The 40 Year Old Virgin,The 40 Year Old Virgin,2005-08-11,2005,8,Summer,20,26000000.0,177400000,6.823076923076923,10.4917,6.415,7022,Comedy|Romance,Comedy,Judd Apatow,Steve Carell|Catherine Keener|Paul Rudd
7345,There Will Be Blood,There Will Be Blood,2007-12-26,2007,12,Winter,18,25000000.0,77208711,3.08834844,9.0194,8.077,7112,Drama,Drama,Paul Thomas Anderson,Daniel Day-Lewis|Paul Dano|Kevin J. O'Connor
7451,xXx,xXx,2002-08-09,2002,8,Summer,23,70000000.0,277448382,3.963548314285714,74.1454,5.974,4685,Action|Adventure|Thriller|Crime|Drama,Action,Rob Cohen,Vin Diesel|Asia Argento|Marton Csokas
8274,American Pie Presents: Band Camp,American Pie Presents: Band Camp,2005-11-23,2005,11,Fall,20,7000000.0,0,0.0,9.3496,5.5,2160,Comedy,Comedy,Steve Rash,Tad Hilgenbrink|Arielle Kebbel|Jason Earles
8587,The Lion King,The Lion King,1994-06-15,1994,6,Summer,31,45000000.0,763455561,16.96567913333333,15.8724,8.256,19186,Family|Animation|Drama|Adventure,Family,Roger Allers,Matthew Broderick|Moira Kelly|Nathan Lane
8871,How the Grinch Stole Christmas,How the Grinch Stole Christmas,2000-11-17,2000,11,Fall,25,123000000.0,345800000,2.8113821138211383,43.1706,6.779,7974,Family|Comedy|Fantasy,Family,Ron Howard,Jim Carrey|Taylor Momsen|Jeffrey Tambor
8966,Twilight,Twilight,2008-11-20,2008,11,Fall,17,37000000.0,393616788,10.638291567567567,15.2846,6.285,14099,Fantasy|Drama|Romance,Fantasy,Catherine Hardwicke,Kristen Stewart|Robert Pattinson|Billy Burke
9072,Little Man,Little Man,2006-08-31,2006,8,Summer,19,64000000.0,101600000,1.5875,14.2792,5.927,1839,Comedy|Crime,Comedy,Keenen Ivory Wayans,Marlon Wayans|Shawn Wayans|Kerry Washington
9273,Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls,1995-11-10,1995,11,Fall,30,30000000.0,212385533,7.079517766666667,9.4284,6.32,4383,Crime|Comedy|Adventure,Crime,Steve Oedekerk,Jim Carrey|Ian McNeice|Simon Callow
9323,Ghost in the Shell,GHOST IN THE SHELL,1995-11-18,1995,11,Fall,30,3000000.0,10000000,3.3333333333333335,10.1903,7.925,3691,Action|Animation|Science Fiction,Action,Mamoru Oshii,Atsuko Tanaka|Akio Otsuka|Iemasa Kayumi
9479,The Nightmare Before Christmas,The Nightmare Before Christmas,1993-10-09,1993,10,Fall,32,18000000.0,75634409,4.201911611111111,13.624,7.834,10038,Fantasy|Animation|Family,Fantasy,Henry Selick,Danny Elfman|Chris Sarandon|Catherine O'Hara
9502,Kung Fu Panda,Kung Fu Panda,2008-06-04,2008,6,Summer,17,130000000.0,632091832,4.8622448615384615,14.3535,7.31,12230,Animation|Family|Comedy|Action|Adventure,Animation,Mark Osborne,Jack Black|Angelina Jolie|Dustin Hoffman
9679,Gone in Sixty Seconds,Gone in Sixty Seconds,2000-06-09,2000,6,Summer,25,90000000.0,237200000,2.6355555555555554,12.0657,6.45,4697,Action|Crime|Thriller,Action,Dominic Sena,Nicolas Cage|Angelina Jolie|Giovanni Ribisi
9714,Home Alone 3,Home Alone 3,1997-12-12,1997,12,Winter,28,32000000.0,79082515,2.47132859375,15.5619,5.274,3169,Comedy|Family,Comedy,Raja Gosnell,Alex D. Linz|Olek Krupa|Rya Kihlstedt
9769,Lolita,Lolita,1997-09-27,1997,9,Fall,28,62000000.0,1100000,0.017741935483870968,12.5053,7.117,1901,Drama|Romance,Drama,Adrian Lyne,Jeremy Irons|Dominique Swain|Melanie Griffith
9793,The Hills Have Eyes 2,The Hills Have Eyes 2,2007-03-22,2007,3,Spring,18,15000000.0,37697773,2.5131848666666667,7.7408,5.6,1557,Horror|Thriller,Horror,Martin Weisz,Michael McMillian|Jessica Stroup|Jacob Vargas
9806,The Incredibles,The Incredibles,2004-11-05,2004,11,Fall,21,92000000.0,631442092,6.863501,12.3562,7.72,18452,Action|Adventure|Animation|Family,Action,Brad Bird,Craig T. Nelson|Holly Hunter|Sarah Vowell
9919,How to Lose a Guy in 10 Days,How to Lose a Guy in 10 Days,2003-02-07,2003,2,Winter,22,50000000.0,177500000,3.55,11.9085,6.853,4297,Comedy|Romance,Comedy,Donald Petrie,Kate Hudson|Matthew McConaughey|Kathryn Hahn
10020,Beauty and the Beast,Beauty and the Beast,1991-10-22,1991,10,Fall,34,25000000.0,424967620,16.9987048,12.4746,7.729,10395,Romance|Family|Animation|Fantasy,Romance,Gary Trousdale,Paige O'Hara|Robby Benson|Richard White
10086,Man Bites Dog,C'est arrivé près de chez vous,1992-08-20,1992,8,Summer,33,33000.0,205569,6.229363636363637,13.0643,7.222,977,Comedy|Crime,Comedy,Rémy Belvaux,Benoît Poelvoorde|Rémy Belvaux|André Bonzel
